SINCOM;SEVEL;GLIWICE
XL2;SI;NO
1L2;SI;NO
5L2;SI;NO
5L3;SI;NO
AL3;SI;NO
AL4;SI;NO
XG2;SI;SI
1G2;SI;SI
5G2;SI;SI
5G3;SI;SI
6G2;SI;SI
AG3;SI;SI
BG3;SI;SI
BA3;SI;SI
6G3;SI;SI
BH4;SI;SI
AH3;SI;SI
BH3;SI;SI
AH5;SI;SI
AX3;SI;SI
AG4;SI;SI
BG4;SI;SI
BA4;SI;SI
AG5;SI;SI
BG5;SI;SI
AX6;SI;SI
AH6;SI;SI
BH6;SI;SI
AG6;SI;SI
BG6;SI;SI
BX3;SI;SI
AX5;SI;SI
CG3;SI;SI
CA3;SI;SI
BX4;SI;SI
BA6;SI;SI
CG6;SI;SI
CA6;SI;SI
FG6;SI;SI
GG6;SI;SI
CH6;SI;SI
HA5;SI;SI
BX6;SI;SI
CH3;SI;SI
AGU;SI;SI
BGU;SI;SI
CGU;SI;SI
CAU;SI;SI
CG5;SI;SI
CA5;SI;SI
BGZ;SI;SI
CGZ;SI;SI
CAZ;SI;SI
HG3;SI;SI
BX5;SI;SI
HHZ;SI;SI
GGZ;SI;SI
HGZ;SI;SI
HAZ;SI;SI
HG6;SI;SI
HA6;SI;SI
GH6;SI;SI
HH6;SI;SI
FG3;SI;SI
GG3;SI;SI
GH3;SI;SI
HH3;SI;SI
GHU;SI;SI
HHU;SI;SI
AC2;SI;NO
LC2;SI;NO
BC2;SI;NO
BD4;SI;NO
A72;SI;NO
L72;SI;NO
B72;SI;NO
B74;SI;NO
C74;SI;NO
AC4;SI;NO
LC4;SI;NO
BC4;SI;NO
CC4;SI;NO
DC6;SI;NO
A74;SI;NO
L74;SI;NO
CC5;SI;NO
ACU;SI;NO
AD3;SI;NO
BD3;SI;NO
CD3;SI;NO
A93;SI;NO
B93;SI;NO
C93;SI;NO
AC3;SI;NO
LC3;SI;NO
BC3;SI;NO
CC3;SI;NO
A73;SI;NO
L73;SI;NO
B73;SI;NO
C73;SI;NO
DC3;SI;NO
B94;SI;NO
A8X;SI;NO
A83;SI;NO
CC6;SI;NO
ACV;SI;NO
BCU;SI;NO
CCU;SI;NO
AC5;SI;NO
LC5;SI;NO
BC5;SI;NO
B75;SI;NO
C75;SI;NO
CD5;SI;NO
C95;SI;NO
AC6;SI;NO
LC6;SI;NO
BC6;SI;NO
B76;SI;NO
C76;SI;NO
BD6;SI;NO
CD6;SI;NO
B96;SI;NO
C96;SI;NO
BCY;SI;NO
CCY;SI;NO
BCZ;SI;NO
CCZ;SI;NO
GC3;SI;NO
GC5;SI;NO
GC6;SI;NO
G75;SI;NO
FC6;SI;NO
GCZ;SI;NO
G76;SI;NO
JC5;SI;NO
GD5;SI;NO
G95;SI;NO
JC6;SI;NO
GD6;SI;NO
G96;SI;NO
A32;SI;SI
B32;SI;SI
G3W;SI;SI
A33;SI;SI
B33;SI;SI
A3U;SI;SI
C33;SI;SI
C43;SI;SI
A34;SI;SI
B34;SI;SI
G34;SI;SI
C34;SI;SI
C44;SI;SI
A3W;SI;SI
B3W;SI;SI
A3Z;SI;SI
C3W;SI;SI
C4W;SI;SI
A3X;SI;SI
B3X;SI;SI
B4X;SI;SI
C3X;SI;SI
C4X;SI;SI
A36;SI;SI
B36;SI;SI
B46;SI;SI
C36;SI;SI
G33;SI;SI
B43;SI;SI
B44;SI;SI
B3U;SI;SI
B4Z;SI;SI
B4U;SI;SI
B4W;SI;SI
C46;SI;SI
G3V;SI;SI
G4V;SI;SI
H3V;SI;SI
H4V;SI;SI
G3X;SI;SI
G4X;SI;SI
H3X;SI;SI
H4X;SI;SI
G3Z;SI;SI
G4Z;SI;SI
H3Z;SI;SI
H4Z;SI;SI
H36;SI;SI
H46;SI;SI
A13;SI;NO
L13;SI;NO
B13;SI;NO
A52;SI;NO
L52;SI;NO
A53;SI;NO
L53;SI;NO
B53;SI;NO
A14;SI;NO
L14;SI;NO
B14;SI;NO
B23;SI;NO
B52;SI;NO
A63;SI;NO
L63;SI;NO
B63;SI;NO
A1X;SI;NO
L1X;SI;NO
B1X;SI;NO
D16;SI;NO
D1X;SI;NO
A5X;SI;NO
L5X;SI;NO
B5X;SI;NO
B26;SI;NO
D26;SI;NO
L2X;SI;NO
B2X;SI;NO
D2X;SI;NO
A6X;SI;NO
L6X;SI;NO
B6X;SI;NO
D14;SI;NO
A54;SI;NO
L54;SI;NO
B54;SI;NO
B5V;SI;NO
B5U;SI;NO
L24;SI;NO
B24;SI;NO
D24;SI;NO
A64;SI;NO
L64;SI;NO
B64;SI;NO
A1W;SI;NO
L1W;SI;NO
B1W;SI;NO
L56;SI;NO
B56;SI;NO
A5W;SI;NO
L5W;SI;NO
B5W;SI;NO
L66;SI;NO
B66;SI;NO
B2W;SI;NO
A6W;SI;NO
L6W;SI;NO
B6W;SI;NO
J14;SI;NO
P5U;SI;NO
G5U;SI;NO
P5V;SI;NO
G5V;SI;NO
P5W;SI;NO
G5W;SI;NO
G1X;SI;NO
H1X;SI;NO
J1X;SI;NO
G16;SI;NO
H16;SI;NO
P5X;SI;NO
G5X;SI;NO
G2X;SI;NO
J2X;SI;NO
P6X;SI;NO
G6X;SI;NO
G56;SI;NO
G5Z;SI;NO
J1Z;SI;NO
G26;SI;NO
J2Z;SI;NO
G6Z;SI;NO
P66;SI;NO
G66;SI;NO
